2025-01-14 14:05:54,339 - INFO - Starting grid search for IDM parameters...
2025-01-14 14:05:55,340 - INFO - Run optimization...
2025-01-14 14:12:46,398 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=3.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0903
2025-01-14 14:12:48,732 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=2.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.3932
2025-01-14 14:12:48,733 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=3.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.7587
2025-01-14 14:12:51,763 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=3.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3251
2025-01-14 14:12:55,867 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=3.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.1853
2025-01-14 14:12:55,942 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=3.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.2200
2025-01-14 14:12:59,195 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=3.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.5209
2025-01-14 14:13:01,627 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=3.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.9339
2025-01-14 14:13:01,739 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=3.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3539
2025-01-14 14:13:03,904 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.5383
2025-01-14 14:13:08,947 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=3.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3338
2025-01-14 14:13:11,575 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=3.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.6688
2025-01-14 14:13:28,031 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=3.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.1741
2025-01-14 14:14:19,959 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=3.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3075
2025-01-14 14:14:27,386 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=3.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.4150
2025-01-14 14:14:31,196 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=3.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.9107
2025-01-14 14:14:31,350 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=3.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3310
2025-01-14 14:14:33,779 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=3.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3638
